HE InChI=1S/He
C4H7O12-4 InChI=1S/C4H7O/c1-2-4-3-5-4/h4H,1-3H2
C4H7O13-4 InChI=1S/C4H7O/c1-4-2-3-5-4/h4H,1-3H2
C4H7O23-1 InChI=1S/C4H7O/c1-3-4(2)5-3/h3-4H,1H2,2H3
IC4H8O2H-I InChI=1S/C4H9O2/c1-4(2)3-6-5/h4-5H,1,3H2,2H3
IC4H8OOH-IO2 InChI=1S/C4H9O4/c1-4(2-7-5)3-8-6/h4-5H,2-3H2,1H3
IC4H8O2H-T InChI=1S/C4H9O2/c1-4(2)3-6-5/h5H,3H2,1-2H3
IC4H8OOH-TO2 InChI=1S/C4H9O4/c1-4(2,8-6)3-7-5/h5H,3H2,1-2H3
TC4H8O2H-I InChI=1S/C4H9O2/c1-4(2,3)6-5/h5H,1H2,2-3H3
TC4H8OOH-IO2 InChI=1S/C4H9O4/c1-4(2,8-6)3-7-5/h6H,3H2,1-2H3
IC4H9 InChI=1S/C4H9/c1-4(2)3/h4H,1H2,2-3H3
IC4H8 InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3
TC4H9 InChI=1S/C4H9/c1-4(2)3/h1-3H3
IC4H10 InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3
IC4KETII InChI=1S/C4H8O3/c1-4(2-5)3-7-6/h2,4,6H,3H2,1H3
IC4KETIT InChI=1S/C4H8O3/c1-4(2,3-5)7-6/h3,6H,1-2H3
IC4H7OOH InChI=1S/C4H8O2/c1-4(2)3-6-5/h5H,1,3H2,2H3
TIC4H7Q2-I InChI=1S/C4H9O4/c1-4(2,8-6)3-7-5/h5-6H,1,3H2,2H3
IIC4H7Q2-I InChI=1S/C4H9O4/c1-4(2-7-5)3-8-6/h4-6H,1-3H2
IIC4H7Q2-T InChI=1S/C4H9O4/c1-4(2-7-5)3-8-6/h5-6H,2-3H2,1H3
IC3H7CHO InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3
ET12IC4-1OOH InChI=1S/C4H8O3/c1-4(2-6-4)3-7-5/h5H,2-3H2,1H3
TC4H9O InChI=1S/C4H9O/c1-4(2,3)5/h1-3H3
IC4H9O InChI=1S/C4H9O/c1-4(2)3-5/h4H,3H2,1-2H3
IC4H7 InChI=1S/C4H7/c1-4(2)3/h1-2H2,3H3
IC4H7O InChI=1S/C4H7O/c1-4(2)3-5/h1,3H2,2H3
CC4H8O InChI=1S/C4H8O/c1-4-2-5-3-4/h4H,2-3H2,1H3
IC4H8O InChI=1S/C4H8O/c1-4(2)3-5-4/h3H2,1-2H3
TC3H6CHO InChI=1S/C4H7O/c1-4(2)3-5/h3H,1-2H3
SC4H7OH-I InChI=1S/C4H8O/c1-4(2)3-5/h3,5H,1-2H3
IC3H7CO InChI=1S/C4H7O/c1-4(2)3-5/h4H,1-2H3
IC3H6CHO InChI=1S/C4H7O/c1-4(2)3-5/h3-4H,1H2,2H3
IC3H5CHO InChI=1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3
IC3H6CO InChI=1S/C4H6O/c1-4(2)3-5/h1-2H3
TC3H6OCHO InChI=1S/C4H7O2/c1-4(2,6)3-5/h3H,1-2H3
IC3H6OHCHO InChI=1S/C4H8O2/c1-4(2,6)3-5/h3,6H,1-2H3
IC3H5CO InChI=1S/C4H5O/c1-4(2)3-5/h1H2,2H3
IC3H4CHO-A InChI=1S/C4H5O/c1-4(2)3-5/h3H,1-2H2
SC4H7OH-IP InChI=1S/C4H7O/c1-4(2)3-5/h3,5H,1H2,2H3
SC4H7O-I InChI=1S/C4H7O2/c1-4(2-5)3-6/h2,5H,3H2,1H3!CC(=CO)C[O]
SC4H7OOH-I InChI=1S/C4H8O3/c1-4(2-5)3-7-6/h2,5-6H,3H2,1H3
IC4H6OH InChI=1S/C4H7O/c1-4(2)3-5/h5H,1-3H2
IC4H7-I1 InChI=1S/C4H7/c1-4(2)3/h1H,2-3H3
IC4H7O2 InChI=1S/C4H7O2/c1-4(2)3-6-5/h1,3H2,2H3
IC4H7OH InChI=1S/C4H8O/c1-4(2)3-5/h5H,1,3H2,2H3
IC4H7-I1OO InChI=1S/C4H7O2/c1-4(2)3-6-5/h3H,1-2H3
IC4H7O-1 InChI=1S/C4H7O/c1-4(2)5-3/h1,3H2,2H3
IC4H6OOH-I InChI=1S/C4H7O2/c1-4(2)3-6-5/h5H,1-3H2
CCYCCOOC-T1 InChI=1S/C4H7O2/c1-4-2-5-6-3-4/h2-3H2,1H3
C2CYCOOC-I1 InChI=1S/C4H7O2/c1-4(2)3-5-6-4/h1,3H2,2H3
CVCYCCOC InChI=1S/C4H6O/c1-4-2-5-3-4/h1-3H2
CCYC2OCO InChI=1S/C4H7O2/c1-4(2-5)3-6-4/h2-3H2,1H3
CCYCCOOC-I2 InChI=1S/C4H7O2/c1-4-2-5-6-3-4/h2,4H,3H2,1H3
CHOIC3H6O InChI=1S/C4H7O2/c1-4(2-5)3-6/h2,4H,3H2,1H3
IC3H5OOCH2 InChI=1S/C4H7O2/c1-4(2)6-5-3/h1,3H2,2H3
IC4H8OH-IT InChI=1S/C4H9O/c1-4(2)3-5/h5H,3H2,1-2H3
IC4H8OH-TI InChI=1S/C4H9O/c1-4(2,3)5/h5H,1H2,2-3H3
OVCC(VC)COJ InChI=1S/C4H5O2/c1-4(2-5)3-6/h2H,1,3H2
OVCC(VC)COOH InChI=1S/C4H6O3/c1-4(2-5)3-7-6/h2,6H,1,3H2
IC4YAA InChI=1S/C4H4O2/c1-4(2-5)3-6/h2-3H,1H2
IC4YAA-R InChI=1S/C4H3O2/c1-4(2-5)3-6/h2H,1H2
IC4H6Q2-II InChI=1S/C4H8O4/c1-4(2-7-5)3-8-6/h5-6H,1-3H2
IC4QA-AOJ InChI=1S/C4H7O3/c1-4(2-5)3-7-6/h6H,1-3H2
CVC(COOJ)COOH InChI=1S/C4H7O4/c1-4(2-7-5)3-8-6/h5H,1-3H2
C4H71-4 InChI=1S/C4H7/c1-3-4-2/h3H,1-2,4H2
C4H71-1 InChI=1S/C4H7/c1-3-4-2/h1,3H,4H2,2H3
C4H71-2 InChI=1S/C4H7/c1-3-4-2/h1,4H2,2H3
C2H5CHCO InChI=1S/C4H6O/c1-2-3-4-5/h3H,2H2,1H3
PC4H8OH-2 InChI=1S/C4H9O/c1-2-3-4-5/h3,5H,2,4H2,1H3
SC4H8OH-1 InChI=1S/C4H9O/c1-3-4(2)5/h4-5H,2-3H2,1H3
C4H71-3O2 InChI=1S/C4H7O2/c1-3-4(2)6-5/h3-4H,1H2,2H3
C4H72-1O2 InChI=1S/C4H7O2/c1-2-3-4-6-5/h2-3H,4H2,1H3
C4H61-3 InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2
C4H612 InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3
C4H6-1 InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3
C4H71-1O2 InChI=1S/C4H7O2/c1-2-3-4-6-5/h3-4H,2H2,1H3
C2H5CCHO InChI=1S/C4H6O/c1-2-3-4-5/h4H,2H2,1H3
C3H6CHO-1 InChI=1S/C4H7O/c1-2-3-4-5/h3-4H,2H2,1H3
SC3H5CHO InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3
C2H5COCHO InChI=1S/C4H6O2/c1-2-4(6)3-5/h3H,2H2,1H3
C4H71-2O2 InChI=1S/C4H7O2/c1-3-4(2)6-5/h2-3H2,1H3
C2H5COCH InChI=1S/C4H6O/c1-3-4(2)5/h2H,3H2,1H3
C2H4COCH2 InChI=1S/C4H6O/c1-3-4(2)5/h3H,2H2,1H3
C4H72-2 InChI=1S/C4H7/c1-3-4-2/h3H,1-2H3
C4H7O2-1 InChI=1S/C4H7O/c1-2-3-4-5/h2-3H,4H2,1H3
C2H3COCH3 InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3
C4H71-4O2 InChI=1S/C4H7O2/c1-2-3-4-6-5/h2H,1,3-4H2
C4H7O1-4 InChI=1S/C4H7O/c1-2-3-4-5/h2H,1,3-4H2
C4H61-3OOH4 InChI=1S/C4H7O2/c1-2-3-4-6-5/h2-3,5H,1,4H2
C4H72OO1-3 InChI=1S/C4H7O2/c1-4-2-3-5-6-4/h2,4H,3H2,1H3
C4H71OO2-3 InChI=1S/C4H7O2/c1-3-4(2)6-5-3/h3-4H,1H2,2H3
C4H7O1-2O-3 InChI=1S/C4H7O2/c1-3(5)4-2-6-4/h3-4H,2H2,1H3
C4H7O2-3O-1 InChI=1S/C4H7O2/c1-3-4(2-5)6-3/h3-4H,2H2,1H3
C4H72OO1-4 InChI=1S/C4H7O2/c1-2-4-6-5-3-1/h1H,2-4H2
C4H71OO2-4 InChI=1S/C4H7O2/c1-4-2-3-5-6-4/h4H,1-3H2
C4H7O1-2O-4 InChI=1S/C4H7O2/c5-2-1-4-3-6-4/h4H,1-3H2
AC3H5OCH2 InChI=1S/C4H7O/c1-3-4-5-2/h3H,1-2,4H2
SC3H5OCH2-1 InChI=1S/C4H7O/c1-3-4-5-2/h3-4H,2H2,1H3
C3H6CHO-2 InChI=1S/C4H7O/c1-2-3-4-5/h2,4H,3H2,1H3
C4H5-3 InChI=1S/C4H5/c1-3-4-2/h1,4H,2H3
C4H5-4 InChI=1S/C4H5/c1-3-4-2/h1H,2,4H2
C4H6-2 InChI=1S/C4H6/c1-3-4-2/h1-2H3
C2H5CCO InChI=1S/C4H5O/c1-2-3-4-5/h2H2,1H3
CH3C3H2O InChI=1S/C4H5O/c1-2-3-4-5/h2,4H,1H3
SC3H5CO InChI=1S/C4H5O/c1-2-3-4-5/h2-3H,1H3
C2H5CCHOH InChI=1S/C4H7O/c1-2-3-4-5/h4-5H,2H2,1H3
C2H5COHCH InChI=1S/C4H7O/c1-3-4(2)5/h2,5H,3H2,1H3
C4H5-I InChI=1S/C4H5/c1-3-4-2/h3H,1-2H2
C4H5-N InChI=1S/C4H5/c1-3-4-2/h1,3-4H,2H2
C4H5-2 InChI=1S/C4H5/c1-3-4-2/h1H2,2H3
BUTA123TRIENE InChI=1S/C4H4/c1-3-4-2/h1-2H2
IC5T1 InChI=1S/C5H8/c1-4-5(2)3/h1,5H,2-3H3
C5H82-3 InChI=1S/C5H8/c1-3-5-4-2/h3-4H,1-2H3
C2HCOCH3 InChI=1S/C4H4O/c1-3-4(2)5/h1H,2H3
C4H612OOH InChI=1S/C4H6O2/c1-2-3-4-6-5/h2,4-5H,1H3
C4H5O1-4 InChI=1S/C4H5O/c1-2-3-4-5/h1H,3-4H2
C4H5-4O2 InChI=1S/C4H5O2/c1-2-3-4-6-5/h1H,3-4H2
C2H5COH InChI=1S/C3H6O/c1-2-3-4/h4H,2H2,1H3
C4H4O InChI=1S/C4H4O/c1-2-3-4-5/h4H,1H3
CH3CHCCO InChI=1S/C4H4O/c1-2-3-4-5/h2H,1H3
C4H63,1-1OH InChI=1S/C4H7O/c1-2-3-4-5/h2-5H,1H3
C4H5-4O2H InChI=1S/C4H6O2/c1-2-3-4-6-5/h1,5H,3-4H2
C4H6OHOOH1-1-3 InChI=1S/C4H8O3/c1-4(7-6)2-3-5/h2-6H,1H3/b3-2+
CH3CHOCHCHOH InChI=1S/C4H7O2/c1-4(6)2-3-5/h2-5H,1H3/b3-2+
CH3COCHCHOH InChI=1S/C4H6O2/c1-4(6)2-3-5/h2-3,5H,1H3/b3-2+
C4H63,1-3OH InChI=1S/C4H7O/c1-3-4(2)5/h3,5H,1H2,2H3
C4H6OHOOH2-2-4 InChI=1S/C4H8O3/c1-4(5)2-3-7-6/h2,5-6H,3H2,1H3/b4-2-
CH3COHCHCH2O InChI=1S/C4H7O2/c1-4(6)2-3-5/h2,6H,3H2,1H3/b4-2-
CH2COHCHCHO InChI=1S/C4H6O2/c1-4(6)2-3-5/h2-3,6H,1H3/b4-2-
C4H72-2OH InChI=1S/C4H8O/c1-3-4(2)5/h3,5H,1-2H3
C4H72-2O2 InChI=1S/C4H7O2/c1-3-4(2)6-5/h3H,1-2H3
CH3CHCOCH3 InChI=1S/C4H7O/c1-3-4(2)5/h3H,1-2H3
CH3COCOCH3 InChI=1S/C4H6O2/c1-3(5)4(2)6/h1-2H3
CH3CCOCH3 InChI=1S/C4H6O/c1-3-4(2)5/h1-2H3
SC4H8OH-3 InChI=1S/C4H9O/c1-3-4(2)5/h3-5H,1-2H3
NC4H9OH InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3
PC4H8OH-1 InChI=1S/C4H9O/c1-2-3-4-5/h4-5H,2-3H2,1H3
PC4H8OH-3 InChI=1S/C4H9O/c1-2-3-4-5/h2,5H,3-4H2,1H3
PC4H8OH-4 InChI=1S/C4H9O/c1-2-3-4-5/h5H,1-4H2
C4H71-1OH InChI=1S/C4H8O/c1-2-3-4-5/h3-5H,2H2,1H3
NC3H7CHO InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3
C4H72-1OH InChI=1S/C4H8O/c1-2-3-4-5/h2-3,5H,4H2,1H3
PC4H8OH-1O2 InChI=1S/C4H9O3/c1-2-3-4(5)7-6/h4-5H,2-3H2,1H3
PC4H8OH-3O2 InChI=1S/C4H9O3/c1-4(7-6)2-3-5/h4-5H,2-3H2,1H3
PC4H8OH-4O2 InChI=1S/C4H9O3/c5-3-1-2-4-7-6/h5H,1-4H2
PC4H8OH-2O2 InChI=1S/C4H9O3/c1-2-4(3-5)7-6/h4-5H,2-3H2,1H3
PC4H8OH-1O InChI=1S/C4H9O2/c1-2-3-4(5)6/h4-5H,2-3H2,1H3
PC4H8OH-2O InChI=1S/C4H9O2/c1-2-4(6)3-5/h4-5H,2-3H2,1H3
PC4H8OH-3O InChI=1S/C4H9O2/c1-4(6)2-3-5/h4-5H,2-3H2,1H3
PC4H8OH-4O InChI=1S/C4H9O2/c5-3-1-2-4-6/h5H,1-4H2
C4H7OH-1OOH-2 InChI=1S/C4H9O3/c1-2-3-4(5)7-6/h3-6H,2H2,1H3
C4H7OH-1OOH-3 InChI=1S/C4H9O3/c1-2-3-4(5)7-6/h2,4-6H,3H2,1H3
SQC4H8OP InChI=1S/C4H9O3/c1-2-4(3-5)7-6/h4,6H,2-3H2,1H3
SQC4H7OHP-1 InChI=1S/C4H9O3/c1-2-4(3-5)7-6/h3-6H,2H2,1H3
SQC4H7OHP-3 InChI=1S/C4H9O3/c1-2-4(3-5)7-6/h2,4-6H,3H2,1H3
SQC4H7OHP-4 InChI=1S/C4H9O3/c1-2-4(3-5)7-6/h4-6H,1-3H2
C4H7OH-3OOH-1 InChI=1S/C4H9O3/c1-4(7-6)2-3-5/h3-6H,2H2,1H3
C4H7OH-3OOH-4 InChI=1S/C4H9O3/c1-4(7-6)2-3-5/h4-6H,1-3H2
C4H7OH-3OOH-2 InChI=1S/C4H9O3/c1-4(7-6)2-3-5/h2,4-6H,3H2,1H3
C4H7OH-4OOH-3 InChI=1S/C4H9O3/c5-3-1-2-4-7-6/h2,5-6H,1,3-4H2
C4H7OH-4OOH-2 InChI=1S/C4H9O3/c5-3-1-2-4-7-6/h1,5-6H,2-4H2
C4H7OH-4OOH-1 InChI=1S/C4H9O3/c5-3-1-2-4-7-6/h3,5-6H,1-2,4H2
C4H71-4OH InChI=1S/C4H8O/c1-2-3-4-5/h2,5H,1,3-4H2
PC4H8OH-2O2H InChI=1S/C4H10O3/c1-2-4(3-5)7-6/h4-6H,2-3H2,1H3
PC4H8OH-4O2H InChI=1S/C4H10O3/c5-3-1-2-4-7-6/h5-6H,1-4H2
PQC4H7OHS-2 InChI=1S/C4H9O3/c1-2-4(5)3-7-6/h5-6H,2-3H2,1H3
C4H71-2OH InChI=1S/C4H8O/c1-3-4(2)5/h5H,2-3H2,1H3
PQC4H7OHS-3 InChI=1S/C4H9O3/c1-2-4(5)3-7-6/h2,4-6H,3H2,1H3
C4H7OH1O1-2 InChI=1S/C4H8O2/c1-2-3-4(5)6-3/h3-5H,2H2,1H3
C4H7OHCYO1-3 InChI=1S/C4H8O2/c1-3-2-4(5)6-3/h3-5H,2H2,1H3
C4H7OH1O2-3 InChI=1S/C4H8O2/c1-3-4(2-5)6-3/h3-5H,2H2,1H3
C4H7OHCYO3-4 InChI=1S/C4H8O2/c5-2-1-4-3-6-4/h4-5H,1-3H2
C4H7OHCYO1-4 InChI=1S/C4H8O2/c5-4-2-1-3-6-4/h4-5H,1-3H2
CY(CCCO)COH InChI=1S/C4H8O2/c5-3-4-1-2-6-4/h4-5H,1-3H2
C4H7OH2O1-2 InChI=1S/C4H8O2/c1-2-4(5)3-6-4/h5H,2-3H2,1H3
CCY(COCC)OH InChI=1S/C4H8O2/c1-3-4(5)2-6-3/h3-5H,2H2,1H3
PQC4H7OHS-4 InChI=1S/C4H9O3/c1-2-4(5)3-7-6/h4-6H,1-3H2
C4H7OH2O1-4 InChI=1S/C4H8O2/c5-4-1-2-6-3-4/h4-5H,1-3H2
CCY(COC)OHC InChI=1S/C4H8O2/c1-3-4(2,5)6-3/h3,5H,1-2H3
SQC4H7OHP-3O2 InChI=1S/C4H9O5/c1-3(8-6)4(2-5)9-7/h3-5,7H,2H2,1H3
SQC4H7OHP-4O2 InChI=1S/C4H9O5/c5-3-4(9-7)1-2-8-6/h4-5,7H,1-3H2
PQC4H7OHS-3O2 InChI=1S/C4H9O5/c1-3(9-7)4(5)2-8-6/h3-6H,2H2,1H3
PQC4H7OHS-4O2 InChI=1S/C4H9O5/c5-4(3-9-7)1-2-8-6/h4-5,7H,1-3H2
C4H7OH-1OOH-2O2 InChI=1S/C4H9O5/c1-2-3(8-6)4(5)9-7/h3-5,7H,2H2,1H3
C4H7OH-1OOH-3O2 InChI=1S/C4H9O5/c1-3(8-6)2-4(5)9-7/h3-5,7H,2H2,1H3
C4H7OH-2OOH-1O2 InChI=1S/C4H9O5/c1-2-3(8-6)4(5)9-7/h3-6H,2H2,1H3
C4H7OH-3OOH-1O2 InChI=1S/C4H9O5/c1-3(8-6)2-4(5)9-7/h3-6H,2H2,1H3
C4H7OH-4OOH-2O2 InChI=1S/C4H9O5/c5-3-4(9-7)1-2-8-6/h4-6H,1-3H2
NC4KET12OH-1 InChI=1S/C4H8O4/c1-2-3(8-7)4(5)6/h3,7H,2H2,1H3,(H,5,6)
NC4KET13OH-1 InChI=1S/C4H8O4/c1-3(8-7)2-4(5)6/h3,7H,2H2,1H3,(H,5,6)
NC4KET21OH-1 InChI=1S/C4H8O4/c1-2-3(5)4(6)8-7/h4,6-7H,2H2,1H3
NC4KET31OH-1 InChI=1S/C4H8O4/c1-3(5)2-4(6)8-7/h4,6-7H,2H2,1H3
NC4KET42OH-1 InChI=1S/C4H8O4/c5-2-1-4(3-6)8-7/h2,4,6-7H,1,3H2
C4H6OHOOH1-4-3 InChI=1S/C4H8O3/c1-2-4(3-5)7-6/h2,4-6H,1,3H2
C4H6OHOOH2-2-1 InChI=1S/C4H8O3/c1-2-4(5)3-7-6/h2,5-6H,3H2,1H3
C4H6OHOOH1-3-4 InChI=1S/C4H8O3/c1-2-4(5)3-7-6/h2,4-6H,1,3H2
C4H6OH1KET2-3 InChI=1S/C4H8O4/c1-3(8-7)4(6)2-5/h3,5,7H,2H2,1H3
NC4KET24OH-1 InChI=1S/C4H8O4/c5-3-4(6)1-2-8-7/h5,7H,1-3H2
NC4KET13OH-2 InChI=1S/C4H8O4/c1-3(8-7)4(6)2-5/h2-4,6-7H,1H3
C4H6OH2KET1-4 InChI=1S/C4H8O4/c5-3-4(6)1-2-8-7/h3-4,6-7H,1-2H2
HOCHCHO InChI=1S/C2H3O2/c3-1-2-4/h1-3H
C4H7O2-1,3OOH InChI=1S/C4H9O5/c1-3(9-7)4(5)2-8-6/h3-4,6-7H,2H2,1H3
C4H63,1-2OH InChI=1S/C4H7O/c1-3-4(2)5/h3,5H,2H2,1H3
C4H6OHOOH1-2-3 InChI=1S/C4H8O3/c1-3(5)4(2)7-6/h4-6H,1H2,2H3
C4H61-2OH-3O2 InChI=1S/C4H7O3/c1-3(5)4(2)7-6/h4-5H,1H2,2H3
C4H61OOH3-2O InChI=1S/C4H7O3/c1-3(5)4(2)7-6/h4,6H,1H2,2H3
C4H64,2-1OH InChI=1S/C4H7O/c1-2-3-4-5/h2-3,5H,1,4H2
C4H5OH-13 InChI=1S/C4H6O/c1-2-3-4-5/h2-5H,1H2
AC3H5CHO InChI=1S/C4H6O/c1-2-3-4-5/h2,4H,1,3H2
CH2CHCHCHO InChI=1S/C4H5O/c1-2-3-4-5/h2-4H,1H2
CH2OHCHCHCHOH InChI=1S/C4H7O2/c5-3-1-2-4-6/h1-3,5-6H,4H2
CHOC3H4OH InChI=1S/C4H6O2/c5-3-1-2-4-6/h1-3,6H,4H2
C4H51,3OH2 InChI=1S/C4H6O/c1-3-4(2)5/h3,5H,1-2H2
C2H3COCH2 InChI=1S/C4H5O/c1-3-4(2)5/h3H,1-2H2
NC4KET12OH InChI=1S/C4H8O2/c1-2-4(6)3-5/h3-4,6H,2H2,1H3
C2H5CHOHCO InChI=1S/C4H7O2/c1-2-4(6)3-5/h4,6H,2H2,1H3
NC4KET21OH InChI=1S/C4H8O2/c1-2-4(6)3-5/h5H,2-3H2,1H3
C2H4COCH2OH InChI=1S/C4H7O2/c1-2-4(6)3-5/h2,5H,3H2,1H3
C5H9OH1-4,3 InChI=1S/C5H9O/c1-2-3-4-5-6/h2-3,6H,1,4-5H2
NC4KET24OH-3 InChI=1S/C4H8O4/c1-3(5)4(6)2-8-7/h4,6-7H,2H2,1H3
CH3COCHOH InChI=1S/C3H5O2/c1-3(5)2-4/h2,4H,1H3
SC4H8OH-1O2 InChI=1S/C4H9O3/c1-2-4(5)3-7-6/h4-5H,2-3H2,1H3
PQC4H8OS InChI=1S/C4H9O3/c1-2-4(5)3-7-6/h4,6H,2-3H2,1H3
SQC4H7OHS-4O2 InChI=1S/C4H9O5/c1-3(9-7)4(5)2-8-6/h3-5,7H,2H2,1H3
SC4H8OH-2 InChI=1S/C4H9O/c1-3-4(2)5/h5H,3H2,1-2H3
SC4H8OH-3O2 InChI=1S/C4H9O3/c1-3(5)4(2)7-6/h3-5H,1-2H3
SQC4H8OS InChI=1S/C4H9O3/c1-3(5)4(2)7-6/h3-4,6H,1-2H3
SQC4H7OHS-4 InChI=1S/C4H9O3/c1-3(5)4(2)7-6/h3-6H,1H2,2H3
SQC4H7OHS-3 InChI=1S/C4H9O3/c1-3(5)4(2)7-6/h4-6H,1-2H3
C4H71-3OH InChI=1S/C4H8O/c1-3-4(2)5/h3-5H,1H2,2H3
NC4KET23OH InChI=1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3
C4H61-3OH-3O InChI=1S/C4H7O2/c1-3-4(2,5)6/h3,5H,1H2,2H3
CH3COCOHCH3 InChI=1S/C4H7O2/c1-3(5)4(2)6/h5H,1-2H3
CH2COHCO InChI=1S/C3H3O2/c1-3(5)2-4/h5H,1H2
TQJC4H8OH InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h5H,3H2,1-2H3
IQJC4H8OH InChI=1S/C4H9O3/c1-4(2,5)3-7-6/h5H,3H2,1-2H3
TQC4H8OI InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h6H,3H2,1-2H3
QC4H7OHP InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h5-6H,1,3H2,2H3
TQC4H7OHI InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h3,5-6H,1-2H3
IQC4H8OT InChI=1S/C4H9O3/c1-4(2,5)3-7-6/h6H,3H2,1-2H3
IQC4H7OHT InChI=1S/C4H9O3/c1-4(2,5)3-7-6/h5-6H,1,3H2,2H3
CCY(CCO)COH InChI=1S/C4H8O2/c1-4(2-5)3-6-4/h5H,2-3H2,1H3
C2CY(COC)OH InChI=1S/C4H8O2/c1-4(2)3(5)6-4/h3,5H,1-2H3
CCY(CCOC)OH InChI=1S/C4H8O2/c1-4(5)2-6-3-4/h5H,2-3H2,1H3
TQC4H7OHIO2 InChI=1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,5,7H,1-2H3
IQC4H7OHTO2 InChI=1S/C4H9O5/c1-4(5,2-8-6)3-9-7/h5-6H,2-3H2,1H3
TQC4H7OHTO2 InChI=1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,5-6H,1-2H3
HOCOCQ(CH3)2 InChI=1S/C4H8O4/c1-4(2,8-7)3(5)6/h7H,1-2H3,(H,5,6)
CHOC(CH3)OHCH2Q InChI=1S/C4H8O4/c1-4(6,2-5)3-8-7/h2,6-7H,3H2,1H3
TQC4H7OHIQ-I InChI=1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,6-7H,1-2H3
TQC4H7OHIQ-P InChI=1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,5-7H,1H2,2H3
IQC4H7OHTQ-P InChI=1S/C4H9O5/c1-4(5,2-8-6)3-9-7/h5-7H,1-3H2
IQC4H8OTQ-I InChI=1S/C4H9O5/c1-4(5,2-8-6)3-9-7/h6-7H,2-3H2,1H3
IC3H5COHQ InChI=1S/C4H8O3/c1-3(2)4(5)7-6/h4-6H,1H2,2H3
CH2CQCOHQ InChI=1S/C3H6O5/c1-2(7-5)3(4)8-6/h3-6H,1H2
COHQCYC(COC) InChI=1S/C4H8O4/c1-4(2-7-4)3(5)8-6/h3,5-6H,2H2,1H3
QCYC(CCOC)OH InChI=1S/C4H8O4/c1-4(8-6)2-7-3(4)5/h3,5-6H,2H2,1H3
CO(CH2OOH)2 InChI=1S/C3H6O5/c4-3(1-7-5)2-8-6/h5-6H,1-2H2
TC3H6O2HCO InChI=1S/C4H7O3/c1-4(2,3-5)7-6/h6H,1-2H3
AC5H10 InChI=1S/C5H10/c1-4-5(2)3/h2,4H2,1,3H3
H15DE25DM InChI=1S/C8H14/c1-7(2)5-6-8(3)4/h1,3,5-6H2,2,4H3
H15DE25DM-S InChI=1S/C8H13/c1-7(2)5-6-8(3)4/h5H,1,3,6H2,2,4H3
H15DE25DM-A InChI=1S/C8H13/c1-7(2)5-6-8(3)4/h1-3,5-6H2,4H3
B13DE2M InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3
AC5H9-D InChI=1S/C5H9/c1-4-5(2)3/h1-2,4H2,3H3
H15DE25DM-AO InChI=1S/C8H13O/c1-7(2)4-5-8(3)6-9/h1,3-6H2,2H3
H15DE25DM-SO InChI=1S/C8H13O/c1-6(2)5-8(9)7(3)4/h8H,1,3,5H2,2,4H3
H15DE2M-T InChI=1S/C7H11/c1-4-5-6-7(2)3/h1-2,5-6H2,3H3
IC4H7CHO InChI=1S/C5H8O/c1-5(2)3-4-6/h4H,1,3H2,2H3
IC4H7CO InChI=1S/C5H7O/c1-5(2)3-4-6/h1,3H2,2H3
IC4H7CHO-A InChI=1S/C5H7O/c1-5(2)3-4-6/h4H,1-3H2
IC4H8OH InChI=1S/C4H9O/c1-4(2)3-5/h4-5H,1,3H2,2H3
C5H8-2 InChI=1S/C5H8/c1-3-5-4-2/h3H2,1-2H3
B12DE3M InChI=1S/C5H8/c1-4-5(2)3/h1H2,2-3H3
C6H9-A InChI=1S/C6H9/c1-3-5-6-4-2/h3-5H,1-2,6H2
C6H8 InChI=1S/C6H8/c1-3-5-6-4-2/h3-6H,1-2H2
CYHEXEN-4J InChI=1S/C6H9/c1-2-4-6-5-3-1/h1-2,5H,3-4,6H2
CYPENTN-4MJ InChI=1S/C6H9/c1-6-4-2-3-5-6/h2-3,6H,1,4-5H2
CYHEXDN13 InChI=1S/C6H8/c1-2-4-6-5-3-1/h1-4H,5-6H2
CYHEXDN14 InChI=1S/C6H8/c1-2-4-6-5-3-1/h1-2,5-6H,3-4H2
